"campaignid","sample","family","genus","species","maxn"
"2021-05_Abrolhos_BOSS","npz6.1","Labridae","Choerodon","rubescens",1
"2021-05_Abrolhos_BOSS","npz6.1","Labridae","Unknown","spp",1
"2021-05_Abrolhos_BOSS","npz6.1","Sparidae","Chrysophrys","auratus",1
"2021-05_Abrolhos_BOSS","npz6.1","SUS","SUS","sus",1
"2021-05_Abrolhos_BOSS","npz6.11","Carangidae","Seriola","hippos",2
"2021-05_Abrolhos_BOSS","npz6.11","Carangidae","Unknown","sp10",1
"2021-05_Abrolhos_BOSS","npz6.11","Echeneidae","Unknown","spp",1
"2021-05_Abrolhos_BOSS","npz6.11","Ginglymostomatidae","Nebrius","ferrugineus",1
"2021-05_Abrolhos_BOSS","npz6.11","Glaucosomatidae","Glaucosoma","hebraicum",1
"2021-05_Abrolhos_BOSS","npz6.11","Labridae","Choerodon","rubescens",2
"2021-05_Abrolhos_BOSS","npz6.11","Labridae","Coris","auricularis",3
"2021-05_Abrolhos_BOSS","npz6.11","Labridae","Coris","caudimacula",1
"2021-05_Abrolhos_BOSS","npz6.11","Lethrinidae","Lethrinus","miniatus",10
"2021-05_Abrolhos_BOSS","npz6.13","Tetraodontidae","Unknown","spp",1
"2021-05_Abrolhos_BOSS","npz6.14","Labridae","Anampses","geographicus",1
"2021-05_Abrolhos_BOSS","npz6.14","Labridae","Choerodon","rubescens",1
"2021-05_Abrolhos_BOSS","npz6.14","Labridae","Coris","auricularis",20
"2021-05_Abrolhos_BOSS","npz6.14","Labridae","Coris","caudimacula",1
"2021-05_Abrolhos_BOSS","npz6.14","Labridae","Suezichthys","cyanolaemus",1
"2021-05_Abrolhos_BOSS","npz6.14","Lethrinidae","Lethrinus","miniatus",15
"2021-05_Abrolhos_BOSS","npz6.14","Mullidae","Parupeneus","spilurus",1
"2021-05_Abrolhos_BOSS","npz6.14","Pomacentridae","Chromis","spp",25
"2021-05_Abrolhos_BOSS","npz6.15","SUS","SUS","sus",1
"2021-05_Abrolhos_BOSS","npz6.17","Lethrinidae","Lethrinus","nebulosus",1
"2021-05_Abrolhos_BOSS","npz6.18","Chaetodontidae","Chaetodon","assarius",1
"2021-05_Abrolhos_BOSS","npz6.18","Labridae","Anampses","geographicus",3
"2021-05_Abrolhos_BOSS","npz6.18","Labridae","Choerodon","rubescens",2
"2021-05_Abrolhos_BOSS","npz6.18","Labridae","Coris","auricularis",6
"2021-05_Abrolhos_BOSS","npz6.18","Labridae","Suezichthys","cyanolaemus",1
"2021-05_Abrolhos_BOSS","npz6.18","Labridae","Unknown","spp",1
"2021-05_Abrolhos_BOSS","npz6.18","Lethrinidae","Lethrinus","miniatus",1
"2021-05_Abrolhos_BOSS","npz6.18","Mullidae","Parupeneus","spilurus",4
"2021-05_Abrolhos_BOSS","npz6.18","Pempherididae","Pempheris","klunzingeri",2
"2021-05_Abrolhos_BOSS","npz6.18","Pomacentridae","Chromis","spp",39
"2021-05_Abrolhos_BOSS","npz6.18","Scaridae","Scarus","chameleon",2
"2021-05_Abrolhos_BOSS","npz6.18","Scaridae","Scarus","sp3",2
"2021-05_Abrolhos_BOSS","npz6.18","SUS","SUS","sus",1
"2021-05_Abrolhos_BOSS","npz6.19","Chaetodontidae","Chaetodon","assarius",4
"2021-05_Abrolhos_BOSS","npz6.19","Labridae","Austrolabrus","maculatus",3
"2021-05_Abrolhos_BOSS","npz6.19","Labridae","Choerodon","rubescens",2
"2021-05_Abrolhos_BOSS","npz6.19","Labridae","Coris","auricularis",29
"2021-05_Abrolhos_BOSS","npz6.19","Mullidae","Parupeneus","spilurus",1
"2021-05_Abrolhos_BOSS","npz6.19","Nemipteridae","Pentapodus","nagasakiensis",3
"2021-05_Abrolhos_BOSS","npz6.19","Pomacentridae","Chromis","spp",2
"2021-05_Abrolhos_BOSS","npz6.19","SUS","SUS","sus",3
"2021-05_Abrolhos_BOSS","npz6.2","Lutjanidae","Lutjanus","sp10",1
"2021-05_Abrolhos_BOSS","npz6.2","Pomacanthidae","Apolemichthys","trimaculatus",1
"2021-05_Abrolhos_BOSS","npz6.2","Scorpididae","Neatypus","obliquus",40
"2021-05_Abrolhos_BOSS","npz6.2","Scorpididae","Scorpis","georgiana",1
"2021-05_Abrolhos_BOSS","npz6.2","SUS","SUS","sus",1
"2021-05_Abrolhos_BOSS","npz6.20","Labridae","Suezichthys","cyanolaemus",1
"2021-05_Abrolhos_BOSS","npz6.20","Pomacentridae","Chromis","spp",80
"2021-05_Abrolhos_BOSS","npz6.20","Scaridae","Scarus","spp",1
"2021-05_Abrolhos_BOSS","npz6.20","Serranidae","Pseudanthias","spp",17
"2021-05_Abrolhos_BOSS","npz6.21","Chaetodontidae","Chaetodon","assarius",2
"2021-05_Abrolhos_BOSS","npz6.21","Labridae","Coris","auricularis",9
"2021-05_Abrolhos_BOSS","npz6.21","Pomacentridae","Chromis","spp",2
"2021-05_Abrolhos_BOSS","npz6.24","Labridae","Suezichthys","cyanolaemus",1
"2021-05_Abrolhos_BOSS","npz6.24","Labridae","Unknown","sp3",1
"2021-05_Abrolhos_BOSS","npz6.24","Mullidae","Parupeneus","chrysopleuron",1
"2021-05_Abrolhos_BOSS","npz6.24","Nemipteridae","Pentapodus","nagasakiensis",2
"2021-05_Abrolhos_BOSS","npz6.24","SUS","SUS","sus",1
"2021-05_Abrolhos_BOSS","npz6.25","Labridae","Unknown","sp3",1
"2021-05_Abrolhos_BOSS","npz6.25","Pinguipedidae","Parapercis","spp",1
"2021-05_Abrolhos_BOSS","npz6.25","Sparidae","Chrysophrys","auratus",1
"2021-05_Abrolhos_BOSS","npz6.25","SUS","SUS","sus",1
"2021-05_Abrolhos_BOSS","npz6.26","Labridae","Anampses","geographicus",1
"2021-05_Abrolhos_BOSS","npz6.26","Labridae","Austrolabrus","maculatus",1
"2021-05_Abrolhos_BOSS","npz6.26","Labridae","Choerodon","rubescens",2
"2021-05_Abrolhos_BOSS","npz6.26","Labridae","Coris","auricularis",20
"2021-05_Abrolhos_BOSS","npz6.26","Labridae","Pseudojuloides","elongatus",1
"2021-05_Abrolhos_BOSS","npz6.26","Labridae","Suezichthys","cyanolaemus",2
"2021-05_Abrolhos_BOSS","npz6.26","Lethrinidae","Lethrinus","miniatus",1
"2021-05_Abrolhos_BOSS","npz6.26","Mullidae","Parupeneus","spilurus",3
"2021-05_Abrolhos_BOSS","npz6.26","Pomacentridae","Chromis","spp",25
"2021-05_Abrolhos_BOSS","npz6.28","Labridae","Coris","auricularis",5
"2021-05_Abrolhos_BOSS","npz6.28","Labridae","Suezichthys","cyanolaemus",1
"2021-05_Abrolhos_BOSS","npz6.29","Labridae","Coris","auricularis",5
"2021-05_Abrolhos_BOSS","npz6.29","Labridae","Unknown","spp",1
"2021-05_Abrolhos_BOSS","npz6.3","SUS","SUS","sus",1
"2021-05_Abrolhos_BOSS","npz6.30","SUS","SUS","sus",1
"2021-05_Abrolhos_BOSS","npz6.31","Pinguipedidae","Parapercis","spp",2
"2021-05_Abrolhos_BOSS","npz6.31","SUS","SUS","sus",1
"2021-05_Abrolhos_BOSS","npz6.33","Labridae","Anampses","geographicus",3
"2021-05_Abrolhos_BOSS","npz6.33","Labridae","Austrolabrus","maculatus",1
"2021-05_Abrolhos_BOSS","npz6.33","Labridae","Coris","auricularis",17
"2021-05_Abrolhos_BOSS","npz6.33","Labridae","Coris","caudimacula",1
"2021-05_Abrolhos_BOSS","npz6.33","Labridae","Labroides","dimidiatus",1
"2021-05_Abrolhos_BOSS","npz6.33","Labridae","Notolabrus","parilus",1
"2021-05_Abrolhos_BOSS","npz6.33","Labridae","Suezichthys","cyanolaemus",1
"2021-05_Abrolhos_BOSS","npz6.33","Lethrinidae","Lethrinus","miniatus",2
"2021-05_Abrolhos_BOSS","npz6.33","Mullidae","Parupeneus","spilurus",2
"2021-05_Abrolhos_BOSS","npz6.34","Carangidae","Seriola","hippos",2
"2021-05_Abrolhos_BOSS","npz6.34","Cirrhitidae","Paracirrhites","forsteri",2
"2021-05_Abrolhos_BOSS","npz6.34","Labridae","Anampses","geographicus",1
"2021-05_Abrolhos_BOSS","npz6.34","Labridae","Suezichthys","cyanolaemus",2
"2021-05_Abrolhos_BOSS","npz6.34","Lethrinidae","Lethrinus","miniatus",1
"2021-05_Abrolhos_BOSS","npz6.34","Mullidae","Parupeneus","spilurus",7
"2021-05_Abrolhos_BOSS","npz6.34","Scaridae","Scarus","sp3",6
"2021-05_Abrolhos_BOSS","npz6.34","Serranidae","Plectropomus","spp",1
"2021-05_Abrolhos_BOSS","npz6.36","Tetraodontidae","Unknown","spp",2
"2021-05_Abrolhos_BOSS","npz6.37","Labridae","Coris","auricularis",2
"2021-05_Abrolhos_BOSS","npz6.37","Labridae","Suezichthys","cyanolaemus",1
"2021-05_Abrolhos_BOSS","npz6.37","Labridae","Unknown","spp",2
"2021-05_Abrolhos_BOSS","npz6.38","Labridae","Anampses","geographicus",1
"2021-05_Abrolhos_BOSS","npz6.38","Labridae","Choerodon","rubescens",2
"2021-05_Abrolhos_BOSS","npz6.38","Labridae","Coris","auricularis",17
"2021-05_Abrolhos_BOSS","npz6.38","Labridae","Coris","caudimacula",3
"2021-05_Abrolhos_BOSS","npz6.38","Labridae","Suezichthys","cyanolaemus",3
"2021-05_Abrolhos_BOSS","npz6.38","Lethrinidae","Lethrinus","miniatus",1
"2021-05_Abrolhos_BOSS","npz6.38","Mullidae","Parupeneus","spilurus",3
"2021-05_Abrolhos_BOSS","npz6.38","Pomacentridae","Chromis","spp",93
"2021-05_Abrolhos_BOSS","npz6.39","Labridae","Anampses","geographicus",2
"2021-05_Abrolhos_BOSS","npz6.39","Labridae","Choerodon","rubescens",1
"2021-05_Abrolhos_BOSS","npz6.39","Labridae","Coris","auricularis",25
"2021-05_Abrolhos_BOSS","npz6.39","Labridae","Suezichthys","cyanolaemus",1
"2021-05_Abrolhos_BOSS","npz6.39","Lethrinidae","Lethrinus","miniatus",2
"2021-05_Abrolhos_BOSS","npz6.39","Mullidae","Parupeneus","spilurus",3
"2021-05_Abrolhos_BOSS","npz6.39","Pomacentridae","Chromis","spp",43
"2021-05_Abrolhos_BOSS","npz6.40","Labridae","Austrolabrus","maculatus",2
"2021-05_Abrolhos_BOSS","npz6.40","Labridae","Choerodon","rubescens",1
"2021-05_Abrolhos_BOSS","npz6.40","Labridae","Coris","auricularis",9
"2021-05_Abrolhos_BOSS","npz6.40","Lethrinidae","Lethrinus","spp",2
"2021-05_Abrolhos_BOSS","npz6.42","Labridae","Unknown","spp",1
"2021-05_Abrolhos_BOSS","npz6.42","Mullidae","Parupeneus","chrysopleuron",3
"2021-05_Abrolhos_BOSS","npz6.42","Nemipteridae","Pentapodus","nagasakiensis",5
"2021-05_Abrolhos_BOSS","npz6.43","Labridae","Coris","auricularis",11
"2021-05_Abrolhos_BOSS","npz6.43","Labridae","Suezichthys","cyanolaemus",3
"2021-05_Abrolhos_BOSS","npz6.43","Lethrinidae","Lethrinus","spp",2
"2021-05_Abrolhos_BOSS","npz6.43","Pomacanthidae","Chaetodontoplus","personifer",2
"2021-05_Abrolhos_BOSS","npz6.43","Pomacentridae","Chromis","spp",62
"2021-05_Abrolhos_BOSS","npz6.43","Serranidae","Epinephelus","rivulatus",1
"2021-05_Abrolhos_BOSS","npz6.43","Sparidae","Chrysophrys","auratus",3
"2021-05_Abrolhos_BOSS","npz6.45","Labridae","Unknown","spp",1
"2021-05_Abrolhos_BOSS","npz6.46","Labridae","Choerodon","rubescens",2
"2021-05_Abrolhos_BOSS","npz6.46","Labridae","Unknown","spp",1
"2021-05_Abrolhos_BOSS","npz6.46","Lethrinidae","Lethrinus","miniatus",7
"2021-05_Abrolhos_BOSS","npz6.46","SUS","SUS","sus",1
"2021-05_Abrolhos_BOSS","npz6.47","Labridae","Coris","auricularis",2
"2021-05_Abrolhos_BOSS","npz6.47","Labridae","Unknown","spp",1
"2021-05_Abrolhos_BOSS","npz6.49","Labridae","Austrolabrus","maculatus",1
"2021-05_Abrolhos_BOSS","npz6.49","Labridae","Coris","auricularis",5
"2021-05_Abrolhos_BOSS","npz6.49","Labridae","Suezichthys","cyanolaemus",2
"2021-05_Abrolhos_BOSS","npz6.49","Labridae","Unknown","spp",1
"2021-05_Abrolhos_BOSS","npz6.49","Lethrinidae","Lethrinus","miniatus",1
"2021-05_Abrolhos_BOSS","npz6.5","Labridae","Coris","auricularis",13
"2021-05_Abrolhos_BOSS","npz6.5","Labridae","Suezichthys","cyanolaemus",2
"2021-05_Abrolhos_BOSS","npz6.5","Nemipteridae","Pentapodus","nagasakiensis",2
"2021-05_Abrolhos_BOSS","npz6.50","Labridae","Anampses","geographicus",1
"2021-05_Abrolhos_BOSS","npz6.50","Labridae","Austrolabrus","maculatus",1
"2021-05_Abrolhos_BOSS","npz6.50","Labridae","Choerodon","rubescens",2
"2021-05_Abrolhos_BOSS","npz6.50","Labridae","Coris","auricularis",9
"2021-05_Abrolhos_BOSS","npz6.50","Lethrinidae","Lethrinus","miniatus",1
"2021-05_Abrolhos_BOSS","npz6.50","Pomacentridae","Chromis","spp",115
"2021-05_Abrolhos_BOSS","npz6.50","Scaridae","Scarus","sp3",1
"2021-05_Abrolhos_BOSS","npz6.6","Platycephalidae","Platycephalus","spp",1
"2021-05_Abrolhos_BOSS","npz6.8","Chaetodontidae","Chaetodon","assarius",1
"2021-05_Abrolhos_BOSS","npz6.8","Labridae","Unknown","spp",1
"2021-05_Abrolhos_BOSS","npz6.8","SUS","SUS","sus",1
"2021-05_Abrolhos_BOSS","npz6.9","Pinguipedidae","Parapercis","spp",1
"2021-05_Abrolhos_BOSS","npz9.1","SUS","SUS","sus",1
"2021-05_Abrolhos_BOSS","npz9.16","Carangidae","Unknown","sp10",2
"2021-05_Abrolhos_BOSS","npz9.16","Carcharhinidae","Carcharhinus","plumbeus",1
"2021-05_Abrolhos_BOSS","npz9.17","Apogonidae","Unknown","sp10",2
"2021-05_Abrolhos_BOSS","npz9.17","Chaetodontidae","Chaetodon","assarius",1
"2021-05_Abrolhos_BOSS","npz9.17","Labridae","Unknown","spp",1
"2021-05_Abrolhos_BOSS","npz9.17","Mullidae","Parupeneus","spilurus",1
"2021-05_Abrolhos_BOSS","npz9.17","Ostraciidae","Unknown","spp",1
"2021-05_Abrolhos_BOSS","npz9.17","SUS","SUS","sus",1
"2021-05_Abrolhos_BOSS","npz9.19","Lethrinidae","Lethrinus","miniatus",1
"2021-05_Abrolhos_BOSS","npz9.22","Labridae","Unknown","spp",1
"2021-05_Abrolhos_BOSS","npz9.22","Sparidae","Chrysophrys","auratus",1
"2021-05_Abrolhos_BOSS","npz9.23","Pinguipedidae","Parapercis","spp",1
"2021-05_Abrolhos_BOSS","npz9.24","Lethrinidae","Lethrinus","miniatus",1
"2021-05_Abrolhos_BOSS","npz9.24","SUS","SUS","sus",1
"2021-05_Abrolhos_BOSS","npz9.25","Pinguipedidae","Parapercis","spp",1
"2021-05_Abrolhos_BOSS","npz9.27","Carangidae","Seriola","dumerili",11
"2021-05_Abrolhos_BOSS","npz9.4","Lethrinidae","Lethrinus","miniatus",1
"2021-05_Abrolhos_BOSS","npz9.4","Monacanthidae","Eubalichthys","caeruleoguttatus",1
"2021-05_Abrolhos_BOSS","npz9.41","Lethrinidae","Gymnocranius","spp",1
"2021-05_Abrolhos_BOSS","npz9.42","Labridae","Unknown","spp",1
"2021-05_Abrolhos_BOSS","npz9.43","Chaetodontidae","Chaetodon","assarius",109
"2021-05_Abrolhos_BOSS","npz9.43","Labridae","Bodianus","solatus",2
"2021-05_Abrolhos_BOSS","npz9.43","Labridae","Choerodon","rubescens",1
"2021-05_Abrolhos_BOSS","npz9.43","Labridae","Labroides","dimidiatus",1
"2021-05_Abrolhos_BOSS","npz9.43","Lethrinidae","Lethrinus","miniatus",3
"2021-05_Abrolhos_BOSS","npz9.43","Lutjanidae","Lutjanus","sp10",1
"2021-05_Abrolhos_BOSS","npz9.43","Monacanthidae","Eubalichthys","caeruleoguttatus",1
"2021-05_Abrolhos_BOSS","npz9.43","Mullidae","Parupeneus","spilurus",8
"2021-05_Abrolhos_BOSS","npz9.43","Pomacanthidae","Chaetodontoplus","personifer",1
"2021-05_Abrolhos_BOSS","npz9.43","Pomacanthidae","Pomacanthus","semicirculatus",2
"2021-05_Abrolhos_BOSS","npz9.43","Pomacentridae","Chromis","spp",88
"2021-05_Abrolhos_BOSS","npz9.43","Scaridae","Scarus","ghobban",1
"2021-05_Abrolhos_BOSS","npz9.43","Serranidae","Caprodon","schlegelii",9
"2021-05_Abrolhos_BOSS","npz9.44","Labridae","Choerodon","rubescens",1
"2021-05_Abrolhos_BOSS","npz9.44","Labridae","Coris","auricularis",1
"2021-05_Abrolhos_BOSS","npz9.44","Labridae","Pseudojuloides","elongatus",1
"2021-05_Abrolhos_BOSS","npz9.44","Lethrinidae","Lethrinus","miniatus",1
"2021-05_Abrolhos_BOSS","npz9.45","Labridae","Coris","auricularis",1
"2021-05_Abrolhos_BOSS","npz9.45","Lethrinidae","Gymnocranius","spp",1
"2021-05_Abrolhos_BOSS","npz9.45","Lethrinidae","Unknown","spp",1
"2021-05_Abrolhos_BOSS","npz9.45","Pomacentridae","Chromis","spp",25
"2021-05_Abrolhos_BOSS","npz9.47","Chaetodontidae","Chaetodon","assarius",4
"2021-05_Abrolhos_BOSS","npz9.47","Labridae","Bodianus","bilunulatus",1
"2021-05_Abrolhos_BOSS","npz9.47","Lethrinidae","Lethrinus","miniatus",1
"2021-05_Abrolhos_BOSS","npz9.48","Lethrinidae","Lethrinus","miniatus",1
"2021-05_Abrolhos_BOSS","npz9.49","Lethrinidae","Lethrinus","miniatus",3
"2021-05_Abrolhos_BOSS","npz9.5","Labridae","Unknown","spp",1
"2021-05_Abrolhos_BOSS","npz9.5","Lethrinidae","Lethrinus","miniatus",11
"2021-05_Abrolhos_BOSS","npz9.6","Carangidae","Decapterus","spp",2
"2021-05_Abrolhos_BOSS","npz9.6","Lethrinidae","Gymnocranius","spp",1
"2021-05_Abrolhos_BOSS","npz9.7","Blenniidae","Unknown","spp",1
"2021-05_Abrolhos_BOSS","npz9.8","Pinguipedidae","Parapercis","spp",2
